permalink,name,parent_permalink,depth,meta_title,meta_description,meta_keywords,description_html,hero_image_filename,icon_filename,batch_id
brands/duotone-kiteboarding/harnesses,Duotone Kite Harnesses,brands/duotone-kiteboarding,2,Duotone Kite Harnesses 2026 — Waist & Seat,"Duotone kitesurfing harnesses 2026 — Apex waist & seat harnesses with carbon shell. Expert fit advice. Free EU shipping.","duotone harness,duotone apex harness,kite harness","<h2>Duotone Kite Harnesses 2026</h2><p>Duotone's harness range is engineered for kitesurfers who demand precise fit and reliable load distribution. The <strong>Apex</strong> series features a carbon composite shell that wraps the lower back, distributing hook load across the entire waist panel rather than concentrating it at a single point. The result is less fatigue, better posture, and more comfortable sessions — especially during extended big-air or foil riding.</p><h2>Waist vs Seat Harnesses</h2><p><strong>Waist harnesses</strong> like the Apex Curv sit on the lower ribs and offer maximum rotational freedom for wave riding, freestyle, and dynamic riding styles. <strong>Seat harnesses</strong> wrap around the hips and thighs, providing a locked-in feel that prevents ride-up — ideal for beginners and riders who prioritise comfort over agility.</p><p>Duotone's spreader bar system is compatible across their harness range, with standard and sliding hook options for height adjustment during riding.</p><h2>Why Buy Duotone Harnesses at Surf Store</h2><p>Harness fit is the most personal equipment choice in kitesurfing. Our team can advise on size, style, and spreader bar width for your body type and riding style. We stock Duotone harnesses from XS to XL.</p><h2>FAQ</h2><p>Q: Which Duotone harness for freestyle?<br>A: The Apex Curv waist harness — stiff carbon shell with maximum freedom for rotational tricks.</p><p>Q: How tight should a kite harness be?<br>A: Snug enough that it doesn't ride up when you're hooked in and loaded, but not so tight it restricts breathing.</p><p>Q: Can I use a Duotone harness for windsurfing?<br>A: Duotone kite harnesses use a different hook angle than windsurf harnesses. We recommend sport-specific models.</p>",,,batch_03_brand_products
brands/duotone-wing-foiling/foils,Duotone Wing Foils,brands/duotone-wing-foiling,2,Duotone Wing Foils 2026 — Spirit & Glide Systems,"Duotone wing foil hydrofoils 2026 — Spirit front wings, Glide masts & fuselages. Build your ideal foil setup. Free EU shipping.","duotone foil,duotone spirit wing,duotone glide mast","<h2>Duotone Wing Foils 2026</h2><p>Duotone's foil system for wing foiling is built around the modular <strong>Spirit</strong> front wing range and <strong>Glide</strong> mast platform. Every component — front wing, stabiliser, fuselage, and mast — can be swapped independently, letting you tune your foil for speed, lift, turning, or stability depending on conditions and skill level.</p><h2>Front Wings</h2><p>The Spirit front wing range spans from high-aspect speed wings (800cm²) to large freeride wings (2000cm²). Beginners should start with a larger wing (1500–2000cm²) for easy liftoff and forgiving flight. Advanced riders move to smaller, higher-aspect wings for speed and upwind performance.</p><h2>Masts & Fuselages</h2><p>Duotone Glide masts come in aluminium and carbon, from 60cm to 95cm. Start short (65–70cm) for safety while learning; progress to 85cm+ for cleaner riding above chop. Fuselage length affects turning — shorter fuselages turn tighter, longer ones track straighter.</p><h2>Why Buy Duotone Foils at Surf Store</h2><p>We build complete foil packages matched to your weight, discipline, and experience. Our team can advise on front wing area, mast length, and material choice for your budget.</p><h2>FAQ</h2><p>Q: Can I mix Duotone foil parts with other brands?<br>A: Duotone uses a brand-specific bolt pattern. Mixing within the Duotone system is recommended for compatibility.</p><p>Q: Aluminium or carbon mast for learning?<br>A: Aluminium — it's cheaper, durable, and crashes during learning are frequent. Upgrade to carbon once your technique is solid.</p><p>Q: What front wing for an 80kg beginner?<br>A: 1500–1800cm² provides easy liftoff and stable flight at low speeds.</p>",,,batch_03_brand_products
brands/duotone-wing-foiling/boards,Duotone Wing Boards,brands/duotone-wing-foiling,2,Duotone Wing Foil Boards 2026 — Pace & Sky,"Duotone wing foil boards 2026 — Pace, Sky & Downwinder shapes. All volumes. Expert sizing advice. Free EU shipping.","duotone wing board,duotone pace,duotone foil board","<h2>Duotone Wing Foil Boards 2026</h2><p>Duotone's wing foil board range covers the full progression from high-volume learning platforms to compact expert shapes. Every board features a reinforced foil track, recessed deck area, and optimised volume distribution that puts your weight over the foil for efficient pumping and takeoff.</p><h2>The Range</h2><p>The <strong>Sky Wing</strong> is the beginner board — wide, stable, with enough volume (100–130L) to support standing practice and first flights. The <strong>Pace</strong> series targets intermediate to advanced riders with reduced volume (60–90L) and refined rail shapes for carving and jumping. The <strong>Downwinder</strong> boards are elongated shapes designed for open-ocean downwind runs with a wing or prone foiling.</p><h2>Choosing Your Board Volume</h2><p>Start with your body weight in kg + 30–40L for comfortable learning. As technique improves, reduce volume gradually. An 80kg rider typically starts at 110–120L and progresses to 70–80L within one season.</p><h2>FAQ</h2><p>Q: Can I use a SUP board for wing foiling?<br>A: Some accept foil mounts, but dedicated wing boards with reinforced foil tracks perform far better and are safer.</p><p>Q: What board for an 80kg intermediate?<br>A: The Duotone Pace in 75–90L offers a good balance of stability and manoeuvrability.</p><p>Q: Hardboard or inflatable for wing foiling?<br>A: Hardboard for performance. Inflatable only if storage/transport is the primary concern.</p>",,,batch_03_brand_products
brands/cabrinha/bars,Cabrinha Kite Bars,brands/cabrinha,2,Cabrinha Kite Bars & Control Systems 2026,"Cabrinha Unify & 1X control systems 2026. Precision kite bars with integrated safety. Free EU shipping.","cabrinha bar,cabrinha unify bar,cabrinha 1x bar","<h2>Cabrinha Kite Bars 2026</h2><p>Cabrinha's control systems are designed as a unified platform — one bar system that works optimally across their entire kite range. The <strong>Unify</strong> bar is the flagship: clean line routing, a reliable push-away safety release, and an ergonomic grip shape that reduces hand fatigue during long sessions.</p><h2>The Cabrinha Bar Range</h2><p>The <strong>Unify</strong> is available in multiple line lengths (20m, 22m, 24m) with both 4-line and 5-line configurations. The <strong>1X</strong> is the simplified version — a straightforward 4-line bar for riders who want reliability without the complexity of advanced trim options. Both bars feature Cabrinha's auto-swivel system that prevents line tangles during rotations.</p><h2>Line Length Selection</h2><p>Longer lines (24m) give more depower range and are preferred for light wind and big-air riding. Shorter lines (20m) provide faster kite response and are favoured by wave riders who need quick redirects above the surf.</p><h2>FAQ</h2><p>Q: Does the Cabrinha Unify work with older Cabrinha kites?<br>A: Yes — Cabrinha maintains cross-season bar compatibility. The Unify works with 2024+ kites without modification.</p><p>Q: Can I use a Cabrinha bar with a Duotone kite?<br>A: Not recommended. Bar geometry, safety systems, and line attachment differ between brands.</p><p>Q: What bar width for an adult rider?<br>A: The 52cm Unify suits most adult riders. Smaller riders may prefer the 46cm option.</p>",,,batch_03_brand_products
brands/cabrinha/boards,Cabrinha Kiteboards,brands/cabrinha,2,Cabrinha Kiteboards 2026 — Twintip & Surfboards,"Cabrinha kiteboards 2026 — Spectrum, Ace, XCaliber & surf shapes. All sizes. Free EU shipping.","cabrinha kiteboard,cabrinha twintip,cabrinha spectrum","<h2>Cabrinha Kiteboards 2026</h2><p>Cabrinha's kiteboard range reflects the brand's Hawaiian surf heritage — boards that feel alive in the water, with responsive flex patterns and shapes that track confidently through chop. From entry-level twin-tips to premium surf shapes, every Cabrinha board is designed for riders who want connection to the water rather than just riding on top of it.</p><h2>Twin-Tips</h2><p>The <strong>Spectrum</strong> is Cabrinha's all-around twin-tip — moderate rocker, comfortable flex, and reliable pop for freeriding and progression. The <strong>Ace</strong> adds stiffness and a refined outline for aggressive freeriding and freestyle. The <strong>XCaliber</strong> is the performance freestyle board with a flat centre section for maximum pop and precision landings.</p><h2>Surf & Foil Boards</h2><p>Cabrinha's directional surf boards bring surfboard DNA to strapless kite riding — short, responsive, and designed for bottom turns in real waves. Their foil board range offers low-volume shapes optimised for kite foiling with centred stance positioning.</p><h2>FAQ</h2><p>Q: What size Cabrinha board for an 80kg freerider?<br>A: The Spectrum in 138–142cm is ideal for all-round freeride at 80kg.</p><p>Q: Are Cabrinha boards sold with pads and straps?<br>A: Most Cabrinha boards include pads and straps. Check individual product listings for details.</p><p>Q: Can I use Cabrinha boards with any kite brand?<br>A: Yes — kiteboards are universal and work with kites from any brand.</p>",,,batch_03_brand_products
brands/neilpryde/wetsuits,NeilPryde Wetsuits,brands/neilpryde,2,NeilPryde Wetsuits 2026 — Wizard Series,"NeilPryde wetsuits 2026 — Wizard, Mission & Nexus series. GBS construction for warm, flexible performance. Free EU shipping.","neilpryde wetsuit,neilpryde wizard wetsuit,neilpryde neoprene","<h2>NeilPryde Wetsuits 2026</h2><p>NeilPryde brings decades of materials science expertise to their wetsuit range. Originally known for sail construction, NeilPryde applies the same attention to panel layout, seam placement, and material selection to their neoprene products. The result is wetsuits that flex where you need movement and insulate where you need warmth.</p><h2>The NeilPryde Wetsuit Range</h2><p>The <strong>Wizard</strong> is the premium line — featuring GBS (glued and blind-stitched) seams, liquid-seal wrist and ankle cuffs, and a 3D pre-shaped knee that eliminates restriction in footstraps. The <strong>Mission</strong> series offers mid-range performance with flatlock seams and quality neoprene at a lower price. Thicknesses range from 3/2mm for spring/autumn to 5/4mm for winter sailing.</p><h2>Why NeilPryde Wetsuits</h2><p>NeilPryde wetsuits are designed by and for water sports riders — not general surfers. The cut accommodates the wider arm movements of windsurfing and the crouched stance of kitesurfing, with pre-bent arms and knees that reduce fatigue during active riding.</p><h2>FAQ</h2><p>Q: How do NeilPryde wetsuits compare to ION?<br>A: Both are excellent. NeilPryde focuses on windsurf-specific fit; ION offers a wider range of thicknesses and entry styles. Our team can help you choose.</p><p>Q: What thickness for Mediterranean windsurfing?<br>A: 3/2mm covers most of the season. Add a 5/4mm for winter months (December–March).</p><p>Q: Do NeilPryde wetsuits run true to size?<br>A: NeilPryde uses European sizing. Consult their height/weight chart — our team can verify your fit.</p>",,,batch_03_brand_products
brands/neilpryde/masts,NeilPryde Windsurf Masts,brands/neilpryde,2,NeilPryde Windsurf Masts 2026 — SDM & RDM Carbon,"NeilPryde windsurf masts 2026 — X1, X3 & X6 carbon series. SDM & RDM. Expert compatibility advice. Free EU shipping.","neilpryde mast,neilpryde sdm mast,neilpryde rdm mast","<h2>NeilPryde Windsurf Masts 2026</h2><p>NeilPryde produces some of the most precisely manufactured windsurf masts in the sport. Their mast range is defined by carbon percentage tiers: the <strong>X1</strong> (100% carbon) for racing, the <strong>X3</strong> (75% carbon) for performance freeride, and the <strong>X6</strong> (60% carbon) for recreational use. Each tier maintains NeilPryde's exacting bend curve specifications.</p><h2>SDM vs RDM</h2><p>SDM masts are standard for freeride and race sails above 5.5m. RDM masts suit wave sails and smaller sails where the narrower diameter allows the mast to flex through the mast pocket during impacts.</p><h2>Matching Masts to Sails</h2><p>Every NeilPryde sail publishes a recommended mast IMCS rating and luff length. Using a NeilPryde mast with a NeilPryde sail ensures the designed bend curve is achieved — delivering optimal sail profile and performance.</p><h2>FAQ</h2><p>Q: Can I use a NeilPryde mast with Duotone sails?<br>A: Yes, if IMCS ratings and luff lengths match. But brand-matched combinations deliver the best profile accuracy.</p><p>Q: How much difference does carbon percentage make?<br>A: Significant. 100% carbon is 30–40% lighter than 60% carbon and delivers faster power response. The difference is most noticeable in strong wind.</p><p>Q: Are NeilPryde masts 2-piece?<br>A: Yes — all NeilPryde windsurf masts are 2-piece (top and bottom) for transport convenience.</p>",,,batch_03_brand_products
brands/neilpryde/wings,NeilPryde Wings,brands/neilpryde,2,NeilPryde Wing Foil Wings 2026,"NeilPryde wing foil wings 2026 — inflatable wings for all levels. Expert sizing advice. Free EU shipping.","neilpryde wing,neilpryde wing foil,neilpryde inflatable wing","<h2>NeilPryde Wings 2026</h2><p>NeilPryde applies their extensive sail design expertise to the wing foiling category. NeilPryde wings use proprietary canopy materials derived from windsurf sail technology — delivering a stiff, responsive feel that translates wind power efficiently into forward drive on the foil.</p><h2>The NeilPryde Wing Range</h2><p>NeilPryde wings are available from 3.5m to 6.5m, covering high-wind speed sessions through to light-wind cruising. The construction features reinforced leading edges, rigid handles, and transparent windows for downwind visibility during transitions. Each wing is supplied with a wrist leash and compact carry bag.</p><h2>Why NeilPryde Wings</h2><p>NeilPryde's background in sail aerodynamics gives their wings a performance edge in upwind angle and power stability. Riders transitioning from windsurfing to wing foiling often find NeilPryde wings familiar — the power delivery feels like a well-trimmed sail rather than a draggy canopy.</p><h2>FAQ</h2><p>Q: What size NeilPryde wing for an 80kg rider?<br>A: 5.0–5.5m covers the widest range of conditions (12–25 knots).</p><p>Q: Are NeilPryde wings compatible with any foil?<br>A: Yes — wings are universal. Any wing works with any foil and board combination.</p><p>Q: How durable are NeilPryde wings?<br>A: NeilPryde's sail-grade materials are among the most durable in the wing market. Expect 2–3 seasons with proper care.</p>",,,batch_03_brand_products
brands/ion/harnesses,ION Kite & Windsurf Harnesses,brands/ion,2,"ION Harnesses 2026 — Riot, Apex & Element","ION harnesses 2026 — Riot Curv, Apex, Element series. Kite & windsurf. Expert fit advice. Free EU shipping.","ion harness,ion riot curv,ion apex harness","<h2>ION Harnesses 2026</h2><p>ION produces harnesses for both kitesurfing and windsurfing — each designed with sport-specific hook angles, load paths, and back panel shapes. ION's harness range spans from entry-level models with comfortable padding to pro-level carbon-shell designs that distribute load precisely across the lower back and hips.</p><h2>Kite Harnesses</h2><p>The <strong>Riot Curv</strong> is ION's flagship kite harness — a pre-shaped carbon composite back panel with memory foam padding that moulds to your body over time. The <strong>Apex</strong> is the mid-range option with excellent support and a lower price. The <strong>Element</strong> is the entry-level waist harness for beginners who want quality construction without premium features.</p><h2>Windsurf Harnesses</h2><p>ION windsurf harnesses use a different hook angle and wider spreader bar than kite models. Available in waist and seat designs, they distribute the sail's pull across the body for comfortable freeride and wave sessions.</p><h2>FAQ</h2><p>Q: Can I use the same harness for kiting and windsurfing?<br>A: Not recommended — hook angles and load paths differ. Use a sport-specific harness for safety and comfort.</p><p>Q: What size ION harness?<br>A: ION uses European sizing (S, M, L, XL) based on waist measurement. Measure at the navel level.</p><p>Q: How long does a harness last?<br>A: 3–5 seasons with proper care. Replace if the back panel shows cracks or the hook mechanism wears.</p>",,,batch_03_brand_products
brands/ion/boots,ION Neoprene Boots,brands/ion,2,ION Neoprene Boots 2026 — All Thicknesses,"ION neoprene boots 2026 — 2mm to 6mm. Round & split toe. Free EU shipping.","ion boots,ion neoprene boots,ion surf shoes","<h2>ION Neoprene Boots 2026</h2><p>Cold feet end sessions faster than anything else. ION neoprene boots protect against cold water, sharp reef, rocks, and sea urchins while maintaining enough flexibility for comfortable board riding. The range spans from thin 1.5mm reef walkers for tropical protection to thick 6mm winter boots for sub-10°C water.</p><h2>Round Toe vs Split Toe</h2><p><strong>Round-toe boots</strong> are warmer and more comfortable for walking. <strong>Split-toe boots</strong> separate the big toe, providing better grip and feel in footstraps — preferred by windsurfers and kitesurfers who need precise strap control.</p><h2>Thickness Guide</h2><ul><li><strong>1.5–2mm:</strong> Reef protection in warm water (22°C+)</li><li><strong>3mm:</strong> Spring/autumn use (15–20°C)</li><li><strong>5–6mm:</strong> Winter use (below 12°C)</li></ul><h2>FAQ</h2><p>Q: Should boots fit tight or loose?<br>A: Snug — they stretch slightly when wet. A loose boot causes blisters and lets cold water in.</p><p>Q: Can I wear boots inside footstraps?<br>A: Yes — adjust straps slightly wider. Split-toe boots give better strap feel.</p><p>Q: How do I dry boots quickly?<br>A: Turn inside out after each use. Never use a heater or dryer — heat damages neoprene.</p>",,,batch_03_brand_products
